conglomerado,vivienda,hogar,cod_persona,sexo,edad,estado_civil,dominio_geografico,ubigeo,estrato,nivel_educativo,anios_educacion,trabajo_semana_pasada,ocupacion,categoria_ocupacional,tipo_empleador,tipo_contrato,horas_trabajadas_semanal,anios_en_ocupacion,tamano_empresa,ingreso_laboral_anual
10651,13,11,2,2,70,2,2,150509,4,6.0,5,1.0,8521,3,6,7,30,5, ,10332.0
10651,55,11,1,1,52,1,2,150509,4,6.0,5,1.0,4100,4,6,2,60,8, ,29911.0
10651,55,11,2,2,38,1,2,150509,4,8.0,3,1.0,8510,3,6,2,30,16, ,14357.0
10651,69,11,1,1,48,1,2,150509,4,6.0,5,1.0,125,4,6,7,60,5, ,20664.0
10651,69,11,2,2,40,1,2,150509,4,6.0,5,1.0,9329,4,6,2,60,0, ,12263.0
10651,98,11,1,2,37,5,2,150509,4,6.0,5,1.0,4721,3,6,7,72,1, ,12563.0
10651,98,11,2,2,18,6,2,150509,4,6.0,5,1.0,4781,3,6,7,48,1, ,10332.0
11380,97,11,3,2,25,6,7,221003,7,10.0,5,1.0,4711,3,6,2,48,2, ,10527.0
11380,98,11,3,1,35,1,7,221003,7,5.0,3,1.0,126,4,6,7,42,0, ,14540.0
11380,102,11,1,1,48,1,7,221003,7,3.0,0,1.0,126,4,6,7,20,22, ,12982.0
11380,150,11,1,1,27,1,7,221003,7,5.0,1,1.0,126,4,6,7,46,10,1,14540.0
11380,173,11,1,1,71,5,7,221003,7,3.0,0,1.0,126,4,6,7,48,12, ,9331.0
15001,85,11,1,1,56,1,4,10101,4,11.0,2,1.0,8521,3,2,1,30,33,1,12189.0
15001,85,11,2,2,59,1,4,10101,4,8.0,3,1.0,8610,3,2,1,36,36,1,13094.0
15001,126,11,3,2,35,1,4,10101,4,10.0,5,1.0,7110,3,6,2,60,15, ,10137.0
15001,126,11,4,1,32,1,4,10101,4,6.0,5,1.0,4923,4,6,7,98,0, ,21482.0
15001,126,11,9,2,22,6,4,10101,4,7.0,2,1.0,8219,3,6,7,39,0, ,5982.0
15001,163,11,2,2,30,1,4,10101,4,10.0,5,1.0,8412,3,2,5,40,1, ,26852.0
15003,54,11,1,1,55,2,4,10101,4,10.0,5,1.0,8510,3,2,1,40,35, ,26931.0
15003,54,11,2,2,54,2,4,10101,4,8.0,3,1.0,8610,3,2,1,36,32, ,21401.0
15003,54,11,3,2,26,6,4,10101,4,11.0,1,1.0,8530,3,6,2,20,0,1,31741.0
15003,83,11,1,1,64,2,4,10101,4,8.0,3,1.0,8412,4,2,1,40,39, ,6367.0
15003,83,11,3,1,36,6,4,10101,4,9.0,3,1.0,8411,4,2,5,40,0, ,16039.0
15003,128,11,2,1,37,6,4,10101,4,9.0,3,1.0,5610,3,6,2,40,10, ,6252.0
15003,156,11,1,1,29,1,4,10101,4,8.0,3,1.0,4100,4,6,2,46,1, ,21401.0
15003,156,11,2,2,24,1,4,10101,4,8.0,3,1.0,4772,3,6,7,48,1,1,10700.0
15004,42,11,2,1,28,6,4,10101,4,8.0,3,1.0,4100,4,6,7,48,0, ,16626.0
15004,58,11,1,2,44,5,4,10101,4,6.0,5,1.0,5610,4,6,7,54,1, ,10907.0
